,name,time,month,day,hourly_temperature,hourly_wind_speed
43974,"BINGHAMTON GREATER AP, NY US",12,01,08,-3.3,5.1
43975,"BINGHAMTON GREATER AP, NY US",13,01,08,-2.9,5.2
43976,"BINGHAMTON GREATER AP, NY US",14,01,08,-2.6,5.2
43977,"BINGHAMTON GREATER AP, NY US",15,01,08,-2.6,5.2
43978,"BINGHAMTON GREATER AP, NY US",16,01,08,-2.9,4.8
43979,"BINGHAMTON GREATER AP, NY US",17,01,08,-3.5,4.6
43980,"BINGHAMTON GREATER AP, NY US",18,01,08,-3.9,4.5
43981,"BINGHAMTON GREATER AP, NY US",19,01,08,-4.2,4.5
43982,"BINGHAMTON GREATER AP, NY US",20,01,08,-4.4,4.5
43983,"BINGHAMTON GREATER AP, NY US",21,01,08,-4.6,4.6
43984,"BINGHAMTON GREATER AP, NY US",22,01,08,-4.8,4.5
43985,"BINGHAMTON GREATER AP, NY US",23,01,08,-4.9,4.5
43986,"BINGHAMTON GREATER AP, NY US",24,01,09,-5.7,4.6
43987,"BINGHAMTON GREATER AP, NY US",01,01,09,-5.2,4.6
43988,"BINGHAMTON GREATER AP, NY US",02,01,09,-5.3,4.5
43989,"BINGHAMTON GREATER AP, NY US",03,01,09,-5.4,4.6
43990,"BINGHAMTON GREATER AP, NY US",04,01,09,-5.6,4.3
43991,"BINGHAMTON GREATER AP, NY US",05,01,09,-5.6,4.4
43992,"BINGHAMTON GREATER AP, NY US",06,01,09,-5.7,4.3
43993,"BINGHAMTON GREATER AP, NY US",07,01,09,-5.7,4.4
43994,"BINGHAMTON GREATER AP, NY US",08,01,09,-5.8,4.3
43995,"BINGHAMTON GREATER AP, NY US",09,01,09,-5.3,4.4
43996,"BINGHAMTON GREATER AP, NY US",10,01,09,-4.7,4.8
43997,"BINGHAMTON GREATER AP, NY US",11,01,09,-4.0,5.0
43998,"BINGHAMTON GREATER AP, NY US",12,01,09,-3.4,5.1
43999,"BINGHAMTON GREATER AP, NY US",13,01,09,-3.1,5.2
44000,"BINGHAMTON GREATER AP, NY US",14,01,09,-2.8,5.2
44001,"BINGHAMTON GREATER AP, NY US",15,01,09,-2.8,5.2
44002,"BINGHAMTON GREATER AP, NY US",16,01,09,-3.1,4.8
44003,"BINGHAMTON GREATER AP, NY US",17,01,09,-3.7,4.5
44004,"BINGHAMTON GREATER AP, NY US",18,01,09,-4.1,4.5
44005,"BINGHAMTON GREATER AP, NY US",19,01,09,-4.3,4.5
44006,"BINGHAMTON GREATER AP, NY US",20,01,09,-4.6,4.6
44007,"BINGHAMTON GREATER AP, NY US",21,01,09,-4.8,4.6
44008,"BINGHAMTON GREATER AP, NY US",22,01,09,-5.0,4.5
44009,"BINGHAMTON GREATER AP, NY US",23,01,09,-5.2,4.5
44010,"BINGHAMTON GREATER AP, NY US",24,01,10,-5.8,4.6
44011,"BINGHAMTON GREATER AP, NY US",01,01,10,-5.4,4.6
44012,"BINGHAMTON GREATER AP, NY US",02,01,10,-5.6,4.5
44013,"BINGHAMTON GREATER AP, NY US",03,01,10,-5.7,4.6
44014,"BINGHAMTON GREATER AP, NY US",04,01,10,-5.8,4.4
44015,"BINGHAMTON GREATER AP, NY US",05,01,10,-5.8,4.4
44016,"BINGHAMTON GREATER AP, NY US",06,01,10,-5.9,4.3
44017,"BINGHAMTON GREATER AP, NY US",07,01,10,-6.0,4.4
44018,"BINGHAMTON GREATER AP, NY US",08,01,10,-6.0,4.3
44019,"BINGHAMTON GREATER AP, NY US",09,01,10,-5.5,4.5
44020,"BINGHAMTON GREATER AP, NY US",10,01,10,-4.8,4.8
44021,"BINGHAMTON GREATER AP, NY US",11,01,10,-4.2,5.1
44022,"BINGHAMTON GREATER AP, NY US",12,01,10,-3.6,5.2
44023,"BINGHAMTON GREATER AP, NY US",13,01,10,-3.2,5.3
44024,"BINGHAMTON GREATER AP, NY US",14,01,10,-2.9,5.3
44025,"BINGHAMTON GREATER AP, NY US",15,01,10,-2.9,5.2
44026,"BINGHAMTON GREATER AP, NY US",16,01,10,-3.2,4.9
44027,"BINGHAMTON GREATER AP, NY US",17,01,10,-3.8,4.6
44028,"BINGHAMTON GREATER AP, NY US",18,01,10,-4.2,4.5
44029,"BINGHAMTON GREATER AP, NY US",19,01,10,-4.4,4.5
44030,"BINGHAMTON GREATER AP, NY US",20,01,10,-4.7,4.6
44031,"BINGHAMTON GREATER AP, NY US",21,01,10,-4.9,4.6
44032,"BINGHAMTON GREATER AP, NY US",22,01,10,-5.1,4.6
44033,"BINGHAMTON GREATER AP, NY US",23,01,10,-5.3,4.5
44034,"BINGHAMTON GREATER AP, NY US",24,01,11,-6.0,4.6
44035,"BINGHAMTON GREATER AP, NY US",01,01,11,-5.6,4.5
44036,"BINGHAMTON GREATER AP, NY US",02,01,11,-5.7,4.5
44037,"BINGHAMTON GREATER AP, NY US",03,01,11,-5.8,4.5
44038,"BINGHAMTON GREATER AP, NY US",04,01,11,-5.9,4.3
44039,"BINGHAMTON GREATER AP, NY US",05,01,11,-6.0,4.4
44040,"BINGHAMTON GREATER AP, NY US",06,01,11,-6.1,4.3
44041,"BINGHAMTON GREATER AP, NY US",07,01,11,-6.1,4.4
44042,"BINGHAMTON GREATER AP, NY US",08,01,11,-6.2,4.3
44043,"BINGHAMTON GREATER AP, NY US",09,01,11,-5.7,4.5
44044,"BINGHAMTON GREATER AP, NY US",10,01,11,-5.0,4.8
44045,"BINGHAMTON GREATER AP, NY US",11,01,11,-4.3,5.1
